dest_port,app,dest_port_norm
53,DNS,53
80,HTTP,80
443,HTTPS,443
20,FTP,20
21,FTP,21
22,SSH,22
23,TELNET,23
25,SMTP,25
67,DHCP,67
68,DHCP,68
69,TFTP,69
123,NTP,123
110,POP3,110
143,IMAP,143
161,SNMP,161
162,SNMP,162
137,NETBIOS,137
138,NETBIOS,138
139,NETBIOS,139
179,BGP,179
389,LDAP,389
636,LDAPS,636
853,DNS-over-TLS,853
953,DNS-Control,953
1900,SSDP,1900
3478,STUN,3478
3702,WS-Discovery,3702
500,IPsec-IKE,500
993,IMAPS,993
4500,IPsec-NAT-T,4500
5000,HTTP-Alt,5000
5222,XMPP,5222
5228,FCM,5228
5351,NAT-PMP,5351
5353,mDNS,5353
5355,LLMNR,5355
8443,HTTPS-Alt,8443
8728,MikroTik-API,8728
9443,HTTPS-Alt,9443
32400,Plex,32400
1194,OpenVPN,1194
3306,MySQL,3306
5432,PostgreSQL,5432
6379,Redis,6379
27017,MongoDB,27017
11211,Memcached,11211
25565,Minecraft,25565
27015,Steam,27015
8080,HTTP-Alt,8080
9090,Web-UI,9090
25567,Web-UI-Alt,25567
5900,VNC,5900
3389,RDP,3389
5060,SIP,5060
5061,SIPS,5061
12345,NetBus,12345
19132,Minecraft-Bedrock,19132
25565,Minecraft-Java,25565
27036,Steam-Update,27036
30033,TeamSpeak,30033
41641,Tailscale,41641
